src,dst,label,timestamp
6,2,1,1289241911.72836
6,5,1,1289241941.53378
1,12,1,1289243140.39049
4,3,1,1289245277.36975
11,13,1,1289254254.44746
11,10,1,1289254300.79514
7,5,1,1289362700.47913
2,17,1,1289370556.80938
2,16,1,1289370622.21473
17,2,1,1289380981.52787
17,1,1,1289441411.46365
17,10,1,1289441438.4426
17,8,1,1289441450.59006
17,3,1,1289441525.73831
14,3,1,1289442313.03711
14,18,1,1289489668.48486
10,1,1,1289555656.32898
10,6,1,1289555731.22217
10,17,1,1289555745.64663
10,8,1,1289555767.7095
10,19,1,1289555841.66508
10,2,1,1289555871.04233
10,3,1,1289555875.70958
4,20,1,1289641693.99029
20,4,1,1289641703.57785
5,1,1,1289660298.87048
5,6,1,1289660319.00982
5,7,1,1289660347.43795
1,5,1,1289710643.19963
6,4,1,1289770700.4293
4,6,1,1289770756.50297
2,4,1,1289771303.53929
14,21,1,1289836081.52099
14,11,1,1289873367.89538
11,14,1,1289873611.94452
11,22,1,1290088212.27332
22,11,1,1290090118.30882
14,16,1,1290108486.68868
4,23,1,1290197549.13082
23,4,1,1290197554.48422
24,6,1,1290300441.66925
11,1,1,1290520563.53596
7,26,1,1290644457.56157
26,7,1,1290644477.40213
24,1,1,1290666928.42163
1,24,1,1290666953.43175
1,26,1,1290750434.01249
26,1,1,1290752776.47886
26,11,1,1290758643.30207
11,26,1,1290761556.7369
6,7,1,1290826367.17211
7,6,1,1290826591.42034
1,14,1,1290969236.78019
1,23,1,1291052764.71454
23,1,1,1291055972.91439
27,6,1,1291056174.72596
1,11,1,1291090930.69481
28,29,1,1291157823.29216
29,28,1,1291159845.12556
27,1,1,1291159911.11891
14,1,1,1291217882.28299
8,1,1,1291315232.33698
7,22,1,1291376109.62385
1,16,1,1291505266.30993
29,32,1,1291515528.23159
32,29,1,1291515697.49227
30,33,1,1291578872.19781
30,7,1,1291590274.45619
30,32,1,1291591178.25959
32,30,1,1291591211.84395
18,14,1,1291623781.12772
18,15,1,1291623787.90955
28,34,1,1291684579.71178
34,28,1,1291684612.11599
35,1,1,1291740270.94728
11,7,1,1291757016.29721
7,11,1,1291757031.50303
22,36,1,1292070534.03952
36,22,1,1292071378.89261
22,37,1,1292085236.69986
37,22,1,1292085280.0736
33,30,1,1292099160.9751
33,38,1,1292189306.47485
38,33,1,1292189412.5311
33,39,1,1292193828.31273
39,33,1,1292195062.40986
1,39,1,1292196392.21474
39,1,1,1292196407.13906
7,3,1,1292200462.1576
28,31,1,1292206237.08404
31,28,1,1292206272.45044
28,17,1,1292297572.76433
17,28,1,1292297608.09604
7,28,1,1292361185.86524
28,7,1,1292361298.90511
7,38,1,1292442401.75654
38,7,1,1292442432.71184
7,40,1,1292447857.20632
40,7,1,1292490376.23637
22,7,1,1292716197.42619
4,42,1,1292795818.34165
30,17,1,1292819158.23834
17,30,1,1292819328.73322
4,44,1,1292823618.44624
44,4,1,1292823672.32603
44,16,1,1292823684.25402
44,2,1,1292823727.667
27,47,1,1292920838.87248
