src,dst,label,timestamp
113,54,1,1289192400
10,271,1,1289192400
2,402,1,1289192400
10,970,1,1289192400
119,54,1,1289365200
119,2,1,1289365200
54,119,1,1289365200
119,471,1,1289365200
119,271,1,1289365200
168,74,1,1289451600
271,119,1,1289538000
271,54,1,1289538000
271,113,1,1289538000
271,471,1,1289538000
271,2,1,1289538000
474,37,1,1289624400
37,474,1,1289624400
113,37,1,1289710800
54,37,1,1289710800
37,113,1,1289710800
10,168,1,1289797200
168,439,1,1289797200
168,10,1,1289797200
99,10,1,1290056400
10,99,1,1290056400
1632,37,1,1290142800
37,1632,1,1290142800
1127,113,1,1290229200
10,2,1,1290488400
2,1127,1,1290661200
1127,2,1,1290661200
113,4,1,1290747600
4,113,1,1290747600
2,168,1,1290920400
1632,2,1,1291006800
2,1632,1,1291006800
2,10,1,1291006800
1,113,1,1291006800
505,121,1,1291093200
1,2,1,1291093200
121,505,1,1291093200
168,2,1,1291179600
471,2,1,1291266000
4,99,1,1291352400
505,3603,1,1291438800
3603,505,1,1291438800
3603,91,1,1291525200
91,4,1,1291525200
91,3603,1,1291525200
91,297,1,1291525200
74,312,1,1291611600
74,168,1,1291611600
4,10,1,1291698000
10,4,1,1291698000
2473,99,1,1292043600
99,238,1,1292043600
297,91,1,1292043600
99,2473,1,1292043600
238,99,1,1292043600
40,121,1,1292130000
121,40,1,1292130000
121,119,1,1292216400
119,121,1,1292216400
4,121,1,1292302800
121,4,1,1292302800
99,4,1,1292648400
37,31,1,1292734800
119,91,1,1292734800
91,119,1,1292734800
3579,54,1,1292821200
37,3579,1,1292821200
3579,37,1,1292821200
2,710,1,1292907600
710,2,1,1292907600
119,4,1,1293166800
91,625,1,1293426000
4,439,1,1293426000
625,91,1,1293426000
625,1,1,1293426000
1,744,1,1293426000
1,625,1,1293426000
439,4,1,1293426000
40,1401,1,1293512400
37,380,1,1293512400
917,45,1,1293598800
1209,4,1,1293598800
3579,293,1,1293598800
4,312,1,1293598800
1127,74,1,1293598800
4,1209,1,1293598800
74,1127,1,1293598800
512,2,1,1293685200
2,512,1,1293685200
31,37,1,1293771600
40,23,1,1293771600
23,512,1,1293771600
512,23,1,1293771600
23,40,1,1293771600
74,625,1,1293858000
45,917,1,1293858000
625,74,1,1293858000
40,37,1,1294030800
2,917,1,1294030800
37,40,1,1294030800
917,2,1,1294030800
439,625,1,1294117200
45,251,1,1294117200
625,439,1,1294117200
2891,40,1,1294203600
40,44,1,1294203600
40,2891,1,1294203600
44,40,1,1294203600
3731,625,1,1294203600
625,3731,1,1294203600
744,712,1,1294549200
744,40,1,1294549200
712,744,1,1294549200
744,1,1,1294549200
40,744,1,1294549200
91,168,1,1294635600
168,91,1,1294635600
744,249,1,1294722000
249,744,1,1294808400
1115,402,1,1294894800
501,4,1,1294894800
625,1469,1,1294894800
1469,625,1,1294894800
402,1115,1,1294894800
744,402,1,1294981200
402,744,1,1294981200
2,436,1,1295154000
768,436,1,1295154000
436,2,1,1295154000
768,23,1,1295326800
37,91,1,1295413200
91,37,1,1295413200
40,989,1,1295413200
380,37,1,1295499600
23,1087,1,1295586000
1087,23,1,1295586000
917,1115,1,1295672400
